id1 id2
1_internal_16048 19_internal_6365
11_internal_7853 18_internal_3044
10_internal_7527 11_internal_8218
1_internal_17298 9_internal_6506
4_internal_7325 16_internal_5824
2_internal_13637 14_internal_5885
8_internal_7398 11_internal_7511
2_internal_13009 19_internal_6129
17_internal_8010 19_internal_5825
14_internal_5396 16_internal_5523
2_internal_13637 19_internal_5825
7_internal_7975 16_internal_5523
2_internal_13046 5_internal_8999
3_internal_10709 21_internal_2675
5_internal_8133 11_internal_8882
1_internal_17298 19_internal_5834
2_internal_15666 10_internal_7840
2_internal_13437 11_internal_7804
8_internal_6914 16_internal_6270
8_internal_6780 19_internal_5899
1_internal_16538 5_internal_8205
1_internal_15713 14_internal_5459
5_internal_8610 17_internal_9729
5_internal_9260 18_internal_3502
5_internal_8206 10_internal_8200
12_internal_8503 19_internal_6365
2_internal_14140 17_internal_7681
4_internal_7194 6_internal_9964
5_internal_8206 9_internal_6481
1_internal_16597 8_internal_7062
8_internal_6976 11_internal_7480
2_internal_13431 6_internal_9928
2_internal_13496 10_internal_7527
1_internal_17976 22_internal_3370
6_internal_10475 12_internal_9475
4_internal_6905 19_internal_5807
4_internal_7194 6_internal_10475
5_internal_8205 11_internal_7504
16_internal_5824 17_internal_7965
5_internal_8128 13_internal_3758
4_internal_7194 11_internal_7804
1_internal_16538 8_internal_6776
2_internal_15804 17_internal_9729
10_internal_8145 19_internal_5807
1_internal_15977 17_internal_7681
11_internal_8541 12_internal_9475
10_internal_7528 11_internal_7789
2_internal_13394 6_internal_12232
10_internal_7528 12_internal_8770
16_internal_5824 22_internal_3370
1_internal_15959 3_internal_10753
8_internal_6858 17_internal_7589
2_internal_13556 18_internal_3502
16_internal_5915 20_internal_4782
5_internal_8133 7_internal_8262
11_internal_7804 17_internal_8208
6_internal_9918 8_internal_6686
1_internal_16597 5_internal_8128
2_internal_14140 18_internal_3502
7_internal_8709 16_internal_5740
3_internal_10929 12_internal_8839
1_internal_16048 14_internal_5459
14_internal_5885 21_internal_2563
7_internal_8056 16_internal_5740
2_internal_13009 12_internal_8770
11_internal_7547 17_internal_8010
11_internal_7480 12_internal_8561
11_internal_7699 13_internal_5064
19_internal_5970 21_internal_2675
4_internal_7194 7_internal_8262
5_internal_8206 11_internal_7853
10_internal_7559 19_internal_5863
14_internal_5475 22_internal_3284
2_internal_13131 14_internal_5678
2_internal_15709 11_internal_8775
2_internal_14798 6_internal_10204
2_internal_13437 5_internal_8161
8_internal_6686 22_internal_3424
1_internal_16506 8_internal_7045
1_internal_18827 4_internal_7194
11_internal_7511 13_internal_5064
4_internal_7561 16_internal_6270
8_internal_7398 11_internal_7699
2_internal_13437 7_internal_8386
2_internal_13437 12_internal_9475
2_internal_13914 11_internal_8541
5_internal_8206 18_internal_3044
11_internal_8882 14_internal_5402
1_internal_16974 19_internal_5863
11_internal_7526 19_internal_5928
4_internal_7325 7_internal_8056
9_internal_6767 14_internal_6170
10_internal_8215 16_internal_5608
4_internal_7325 22_internal_3370
7_internal_8025 21_internal_2675
12_internal_8503 19_internal_6129
2_internal_13320 3_internal_10709
2_internal_13009 10_internal_8145
6_internal_10475 11_internal_8882
6_internal_10538 21_internal_2675
3_internal_10929 11_internal_7804
9_internal_6758 15_internal_5578
1_internal_16506 16_internal_5545
3_internal_11288 8_internal_7062
9_internal_6601 11_internal_7824
11_internal_7520 14_internal_5411
5_internal_8161 6_internal_9928
3_internal_11026 19_internal_5825
3_internal_11227 4_internal_7194
8_internal_6780 22_internal_3216
4_internal_7194 5_internal_8403
10_internal_7559 11_internal_7699
16_internal_5556 22_internal_3370
6_internal_9964 7_internal_8386
2_internal_13009 3_internal_10897
8_internal_7016 11_internal_7526
8_internal_6686 14_internal_5885
14_internal_5885 17_internal_7818
2_internal_14114 13_internal_3719
1_internal_16181 2_internal_13147
6_internal_10586 19_internal_5970
3_internal_12855 11_internal_8775
4_internal_6941 8_internal_6858
16_internal_5916 17_internal_8148
1_internal_17976 13_internal_5064
2_internal_13431 3_internal_11677
6_internal_9964 11_internal_7804
2_internal_13046 3_internal_10926
4_internal_7359 6_internal_10586
9_internal_6767 16_internal_5824
2_internal_13320 17_internal_8541
11_internal_7633 17_internal_7681
12_internal_8770 19_internal_5787
2_internal_14775 17_internal_7682
1_internal_18413 6_internal_10472
11_internal_7547 14_internal_5885
11_internal_7504 22_internal_3233
5_internal_8205 17_internal_7958
4_internal_7194 5_internal_8133
5_internal_8128 9_internal_6544
8_internal_6686 13_internal_3928
1_internal_15666 19_internal_5807
1_internal_16597 5_internal_9260
8_internal_6780 20_internal_4925
8_internal_7398 22_internal_3370
9_internal_6544 16_internal_6270
2_internal_13431 7_internal_8262
1_internal_15713 19_internal_5807
10_internal_7528 19_internal_5807
1_internal_15892 11_internal_7503
11_internal_7811 17_internal_7827
2_internal_13637 10_internal_8215
6_internal_9918 13_internal_3928
1_internal_16048 10_internal_7528
5_internal_8161 6_internal_10475
1_internal_15713 3_internal_10897
1_internal_16538 11_internal_7504
6_internal_10303 11_internal_7853
1_internal_16463 11_internal_7480
11_internal_7804 14_internal_5411
1_internal_18827 2_internal_13437
5_internal_8133 6_internal_12232
2_internal_13914 5_internal_8133
4_internal_7194 11_internal_8882
6_internal_10169 13_internal_3760
11_internal_7511 22_internal_3370
1_internal_15666 4_internal_6905
5_internal_8494 18_internal_3109
1_internal_16597 8_internal_6914
2_internal_13009 11_internal_7750
5_internal_9519 6_internal_9964
11_internal_7699 21_internal_2154
1_internal_15977 8_internal_6914
14_internal_5459 19_internal_5807
5_internal_8206 14_internal_5885
