"id1" "id2"
"78740" "8_internal_8962" "12_internal_8847"
"47718" "2_internal_13354" "8_internal_7697"
"77648" "7_internal_8888" "9_internal_6654"
"67764" "5_internal_8304" "9_internal_6626"
"12362" "1_internal_15656" "17_internal_7654"
"19937" "1_internal_15832" "2_internal_16290"
"882" "10_internal_8331" "13_internal_4163"
"68691" "6_internal_10689" "11_internal_8098"
"21598" "13_internal_3981" "20_internal_5113"
"69311" "6_internal_10689" "12_internal_10810"
"2053" "10_internal_7733" "17_internal_10736"
"23550" "14_internal_5646" "17_internal_7924"
"5447" "11_internal_7844" "15_internal_6532"
"7569" "1_internal_16135" "11_internal_7683"
"18669" "1_internal_15656" "22_internal_3438"
"49926" "3_internal_11279" "12_internal_8546"
"13331" "1_internal_16036" "19_internal_5998"
"68131" "6_internal_10689" "10_internal_7711"
"70906" "6_internal_10398" "17_internal_7654"
"84680" "9_internal_6805" "22_internal_3438"
"13312" "1_internal_17181" "19_internal_5968"
"69852" "6_internal_10398" "14_internal_5558"
"41333" "2_internal_16290" "19_internal_6284"
"50655" "3_internal_11601" "14_internal_5530"
"71276" "6_internal_11460" "18_internal_3141"
"33034" "1_internal_16191" "8_internal_7697"
"15774" "12_internal_8665" "15_internal_5707"
"27448" "1_internal_15832" "5_internal_8466"
"49984" "3_internal_11622" "12_internal_8617"
"31181" "17_internal_7654" "22_internal_3429"
"45399" "2_internal_13718" "5_internal_8477"
"49335" "3_internal_11622" "11_internal_7625"
"82346" "9_internal_6626" "11_internal_7924"
"14888" "12_internal_8486" "13_internal_3824"
"50511" "3_internal_11864" "13_internal_4091"
"78553" "8_internal_6990" "11_internal_7586"
"63717" "5_internal_8482" "13_internal_4070"
"63132" "5_internal_8375" "11_internal_7625"
"9413" "1_internal_16052" "12_internal_8617"
"9615" "1_internal_16191" "12_internal_10810"
"15768" "12_internal_8665" "15_internal_5446"
"79139" "8_internal_8962" "13_internal_4070"
"18978" "1_internal_17181" "2_internal_13337"
"16279" "12_internal_9057" "17_internal_7821"
"8374" "11_internal_7683" "21_internal_2668"
"49329" "3_internal_11622" "11_internal_7683"
"19325" "1_internal_15656" "2_internal_14060"
"7013" "1_internal_16198" "11_internal_7924"
"84238" "9_internal_7373" "20_internal_5619"
"4255" "11_internal_8580" "12_internal_10810"
"9581" "1_internal_16533" "12_internal_10810"
"49206" "3_internal_10865" "11_internal_7586"
"47045" "2_internal_13513" "7_internal_8778"
"83119" "9_internal_6805" "14_internal_5558"
"72047" "6_internal_10689" "20_internal_4839"
"20277" "1_internal_16191" "2_internal_13354"
"23159" "14_internal_5558" "15_internal_5512"
"32256" "18_internal_3399" "20_internal_5005"
"30981" "17_internal_7654" "21_internal_2268"
"1907" "10_internal_10842" "17_internal_7654"
"43337" "2_internal_13204" "3_internal_11816"
"31309" "1_internal_16198" "7_internal_8021"
"80530" "8_internal_6990" "18_internal_3090"
"38046" "2_internal_13337" "14_internal_5558"
"5089" "11_internal_7844" "14_internal_5530"
"20318" "1_internal_16768" "2_internal_13479"
"33218" "1_internal_15899" "8_internal_8962"
"92" "10_internal_8829" "11_internal_7586"
"8830" "1_internal_16036" "12_internal_8495"
"25861" "15_internal_6532" "17_internal_8271"
"20644" "1_internal_15899" "2_internal_13569"
"49143" "3_internal_11601" "11_internal_7586"
"33547" "19_internal_5968" "21_internal_2157"
"39685" "2_internal_13337" "17_internal_7924"
"16538" "12_internal_12385" "17_internal_10736"
"22040" "1_internal_15656" "3_internal_11864"
"66895" "5_internal_8133" "7_internal_8186"
"68925" "6_internal_10141" "12_internal_8847"
"36380" "2_internal_16290" "11_internal_7844"
"70412" "6_internal_10291" "15_internal_5446"
"11345" "1_internal_16135" "15_internal_5446"
"25111" "1_internal_22128" "4_internal_9812"
"28593" "16_internal_5606" "21_internal_2190"
"18340" "12_internal_8665" "21_internal_2668"
"37336" "2_internal_13286" "12_internal_8617"
"19615" "1_internal_19075" "2_internal_13917"
"9810" "1_internal_16427" "12_internal_8674"
"4205" "11_internal_7683" "12_internal_8546"
"29139" "1_internal_18344" "6_internal_10581"
"36247" "2_internal_13286" "11_internal_7586"
"9106" "1_internal_18344" "12_internal_9055"
"37455" "2_internal_14060" "12_internal_8617"
"37623" "2_internal_20727" "13_internal_4124"
"4458" "11_internal_7924" "12_internal_8495"
"36535" "21_internal_2268" "22_internal_3429"
"17007" "12_internal_8617" "19_internal_5968"
"16603" "12_internal_8674" "17_internal_7924"
"75610" "7_internal_8021" "16_internal_6166"
"78222" "8_internal_7362" "11_internal_7683"
"15133" "12_internal_10119" "14_internal_6080"
"19981" "1_internal_16052" "2_internal_14060"
"24588" "14_internal_5530" "21_internal_2157"
"71085" "6_internal_10689" "17_internal_7821"
"8185" "11_internal_7625" "20_internal_4919"
"45999" "2_internal_13204" "6_internal_10291"
"47594" "2_internal_13569" "8_internal_8962"
"29646" "1_internal_16768" "6_internal_9847"
"4384" "11_internal_7586" "12_internal_8486"
"56418" "3_internal_10883" "9_internal_6626"
"8955" "1_internal_18945" "12_internal_9057"
"4452" "11_internal_7625" "12_internal_8665"
"6440" "11_internal_7586" "18_internal_3090"
"33952" "1_internal_16198" "9_internal_6626"
"31123" "17_internal_10736" "22_internal_3328"
"19309" "1_internal_15656" "2_internal_13832"
"35560" "2_internal_13266" "10_internal_7763"
"33224" "1_internal_15899" "8_internal_7091"
"1413" "10_internal_10842" "15_internal_5512"
"70005" "6_internal_10689" "14_internal_5530"
"4804" "11_internal_7844" "13_internal_3883"
"63817" "5_internal_8394" "13_internal_4070"
"63603" "5_internal_13039" "12_internal_8639"
"9539" "1_internal_16440" "12_internal_8665"
"37374" "2_internal_13354" "12_internal_9057"
"52961" "3_internal_11864" "20_internal_4864"
"19242" "1_internal_18945" "2_internal_16290"
"63507" "5_internal_8394" "12_internal_8847"
"22618" "1_internal_16440" "3_internal_11622"
"51783" "3_internal_11279" "17_internal_7924"
"10263" "1_internal_15899" "13_internal_4070"
"49293" "3_internal_11279" "11_internal_7844"
"49794" "3_internal_10883" "12_internal_9089"
"15631" "12_internal_8486" "15_internal_5707"
"26289" "15_internal_6532" "19_internal_6035"
"8175" "11_internal_7844" "20_internal_4839"
"79040" "8_internal_6990" "12_internal_8652"
"10309" "1_internal_17181" "14_internal_5530"
"4419" "11_internal_7844" "12_internal_9057"
"22438" "1_internal_16135" "3_internal_11622"
"54927" "3_internal_11279" "6_internal_10162"
"1165" "10_internal_7763" "14_internal_6921"
"22667" "1_internal_16533" "3_internal_11256"
"2814" "10_internal_7763" "20_internal_4702"
"32701" "1_internal_17138" "8_internal_7697"
"17610" "1_internal_16440" "21_internal_2668"
"15155" "12_internal_8652" "14_internal_5558"
"51919" "3_internal_11864" "17_internal_10736"
"26537" "15_internal_6532" "20_internal_4839"
"17729" "1_internal_16427" "21_internal_2157"
"5370" "11_internal_7789" "15_internal_5691"
"70161" "6_internal_10641" "15_internal_6532"
"26665" "15_internal_5512" "21_internal_2157"
"64465" "5_internal_8525" "15_internal_6532"
"16148" "12_internal_13817" "17_internal_10736"
"83454" "9_internal_6626" "16_internal_6166"
"58335" "4_internal_7391" "14_internal_5558"
"36274" "2_internal_13354" "11_internal_7806"
"25860" "15_internal_6532" "17_internal_7821"
"56597" "3_internal_11864" "9_internal_6805"
"43825" "2_internal_13232" "3_internal_11012"
"79701" "8_internal_7229" "15_internal_5446"
"19329" "1_internal_15656" "2_internal_14458"
"35459" "2_internal_14060" "10_internal_8829"
"69139" "6_internal_10659" "12_internal_8617"
"36179" "2_internal_13479" "11_internal_7844"
"77327" "7_internal_8888" "8_internal_7287"
"6159" "11_internal_7844" "17_internal_7821"
"80026" "8_internal_6990" "16_internal_5606"
"49795" "3_internal_10883" "12_internal_8495"
"75659" "7_internal_10669" "16_internal_8656"
"23194" "14_internal_5443" "15_internal_5512"
"49951" "3_internal_11816" "12_internal_8665"
"22956" "1_internal_15899" "3_internal_13258"
"1440" "10_internal_7711" "15_internal_6532"
"60512" "4_internal_8302" "5_internal_8654"
