from to weigth
2_internal_18790 10_internal_8858 1
1_internal_16435 11_internal_7755 1
11_internal_7609 19_internal_6382 1
8_internal_8933 13_internal_3755 1
6_internal_9751 20_internal_4605 1
7_internal_8144 14_internal_5612 1
7_internal_8036 14_internal_5612 1
11_internal_7766 21_internal_2547 1
2_internal_13443 11_internal_9432 1
1_internal_15887 19_internal_6209 1
14_internal_5612 19_internal_5928 1
5_internal_8189 6_internal_9889 1
12_internal_8556 14_internal_5429 1
5_internal_8538 8_internal_7063 1
1_internal_16047 5_internal_8392 1
1_internal_16097 11_internal_9931 1
3_internal_11810 5_internal_8448 1
1_internal_15992 2_internal_13307 1
14_internal_5429 19_internal_6209 1
5_internal_8127 19_internal_5862 1
2_internal_13478 12_internal_9138 1
7_internal_7973 20_internal_4555 1
2_internal_13688 19_internal_6361 1
1_internal_15992 22_internal_3232 1
10_internal_7789 11_internal_7766 1
11_internal_8369 14_internal_5935 1
2_internal_13478 20_internal_5477 1
5_internal_8448 14_internal_5404 1
1_internal_16864 6_internal_9898 1
11_internal_7668 19_internal_6382 1
6_internal_9751 19_internal_5928 1
7_internal_8036 19_internal_5928 1
9_internal_7193 11_internal_7755 1
8_internal_8933 10_internal_7789 1
16_internal_5701 19_internal_8727 1
6_internal_10512 15_internal_6100 1
1_internal_16156 11_internal_8101 1
13_internal_3755 15_internal_6100 1
14_internal_5549 20_internal_4555 1
13_internal_3755 17_internal_8231 1
1_internal_16393 19_internal_6190 1
5_internal_8392 8_internal_8933 1
14_internal_5707 16_internal_5583 1
11_internal_7766 17_internal_8231 1
1_internal_16864 20_internal_5477 1
6_internal_10481 8_internal_8933 1
2_internal_13345 5_internal_8189 1
11_internal_7755 15_internal_6003 1
6_internal_9898 12_internal_9138 1
1_internal_15887 14_internal_5707 1
11_internal_7579 19_internal_5928 1
2_internal_13075 19_internal_5935 1
11_internal_7755 20_internal_5052 1
3_internal_11674 6_internal_9898 1
6_internal_9794 10_internal_7677 1
6_internal_10802 11_internal_7755 1
16_internal_5608 20_internal_4738 1
5_internal_8127 11_internal_7579 1
3_internal_11674 11_internal_7755 1
2_internal_13478 17_internal_7964 1
3_internal_11810 15_internal_6100 1
10_internal_8305 16_internal_8690 1
2_internal_17916 16_internal_8690 1
1_internal_16010 6_internal_9751 1
14_internal_5612 20_internal_4555 1
8_internal_8933 12_internal_8565 1
2_internal_13338 7_internal_8123 1
1_internal_17069 13_internal_3755 1
3_internal_12517 6_internal_9898 1
2_internal_13688 8_internal_6732 1
